time ./waf --run "tor-example --use-nsc=false" | tee tor-example.txt

Waf: Entering directory `/home/ns3nsc/nstor/build'
Waf: Leaving directory `/home/ns3nsc/nstor/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (2.068s)
2.49 249000 996 473100 242028 398400 173802 
2.5 249000 996 473100 242028 398400 173802 
2.51 249000 996 473100 242028 398400 173802 
2.52 249000 996 473100 242028 398400 173802 
2.53 249000 996 473100 247506 398400 186252 
2.54 249000 996 473100 247506 398400 186252 
2.55 249000 996 473100 247506 398400 186252 
2.56 249000 996 473100 247506 398400 186252 
2.57 249000 996 473100 247506 398400 186252 
2.58 249000 996 473100 247506 398400 186252 
2.59 249000 996 473100 247506 398400 186252 
2.6 249000 996 473100 247506 398400 186252 
2.61 249000 1992 473100 247506 423300 186252 
2.62 249000 1992 473100 247506 423300 186252 
2.63 249000 1992 473100 249000 423300 198204 
2.64 249000 1992 473100 249000 423300 198204 
2.65 249000 3486 473100 249000 423300 198204 
2.66 249000 3486 473100 249000 423300 198204 
2.67 249000 3486 473100 249000 423300 198204 
2.68 249000 3486 473100 249000 423300 198204 
2.69 249000 4980 473100 249000 423300 198204 
2.7 249000 4980 473100 249000 423300 198204 
2.71 249000 4980 498000 249000 423300 198204 
2.72 249000 4980 498000 249000 423300 198204 
2.73 249000 7968 498000 249000 423300 210654 
2.74 249000 7968 498000 249000 423300 210654 
2.75 249000 7968 498000 249000 423300 210654 
2.76 249000 7968 498000 249000 423300 210654 
2.77 249000 12450 498000 249000 423300 210654 
2.78 249000 12450 498000 249000 423300 210654 
2.79 249000 12450 498000 249000 423300 210654 
2.8 249000 12450 498000 249000 423300 210654 
2.81 249000 18426 498000 249000 448200 210654 
2.82 249000 18426 498000 249000 448200 210654 
2.83 249000 18426 498000 249000 448200 223602 
2.84 249000 18426 498000 249000 448200 223602 
2.85 249000 27390 498000 249000 448200 223602 
2.86 249000 27390 498000 249000 448200 223602 
2.87 249000 27390 498000 249000 448200 223602 
2.88 249000 27390 498000 249000 448200 223602 
2.89 249000 41334 498000 249000 448200 223602 
2.9 249000 41334 498000 249000 448200 223602 
2.91 249000 41334 498000 249000 448200 223602 
2.92 249000 41334 498000 249000 448200 223602 
2.93 249000 62250 498000 249000 448200 236052 
2.94 249000 62250 498000 249000 448200 236052 
2.95 249000 62250 498000 249000 448200 236052 
2.96 249000 62250 498000 249000 448200 236052 
2.97 249000 68226 498000 249000 448200 236052 
2.98 249000 68226 498000 249000 448200 236052 
2.99 249000 68226 498000 249000 448200 236052 
3 249000 68226 498000 249000 448200 236052 
3.01 298800 68226 498000 249000 473100 236052 
3.02 298800 68226 498000 249000 473100 236052 
3.03 298800 79680 498000 249000 473100 247506 
3.04 298800 79680 498000 249000 473100 247506 
3.05 298800 79680 498000 249000 473100 247506 
3.06 298800 79680 498000 249000 473100 247506 
3.07 298800 79680 498000 249000 473100 247506 
3.08 298800 79680 498000 249000 473100 247506 
3.09 298800 79680 498000 249000 473100 247506 
3.1 298800 79680 498000 249000 473100 247506 
3.11 323700 79680 498000 249000 473100 247506 
3.12 323700 79680 498000 249000 473100 247506 
3.13 323700 86154 498000 253482 473100 259956 
3.14 323700 86154 498000 253482 473100 259956 
3.15 323700 86154 498000 253482 473100 259956 
3.16 323700 86154 498000 253482 473100 259956 
3.17 323700 86154 498000 253482 473100 259956 
3.18 323700 86154 498000 253482 473100 259956 
3.19 323700 86154 498000 253482 473100 259956 
3.2 323700 86154 498000 253482 473100 259956 
3.21 323700 86154 498000 253482 498000 259956 
3.22 323700 86154 498000 253482 498000 259956 
3.23 323700 92130 498000 258960 498000 272406 
3.24 323700 92130 498000 258960 498000 272406 
3.25 323700 92130 498000 258960 498000 272406 
3.26 323700 92130 498000 258960 498000 272406 
3.27 323700 92130 498000 258960 498000 272406 
3.28 323700 92130 498000 258960 498000 272406 
3.29 323700 92130 498000 258960 498000 272406 
3.3 323700 92130 498000 258960 498000 272406 
3.31 323700 92130 498000 258960 498000 272406 
3.32 323700 92130 498000 258960 498000 272406 
